subject,cond1f2s,p_eideo,p_sideo,p_oideo,age,sex,fast1,fast2,fast3,fast4,fast5,fast6,secs1,secs2,secs3,secs4,secs5,secs6,secs7,secs8,secs9,secs10,srs1,srs2,srs3,srs4,srs5,srs6,srs7,srs8,srs9,srs10,srs11,srs12,srs13,srs14,srs15,srs16,srs17,srs18,srs19,srs20,srs21,srs22,srs23,srs24,srs25,srs26,srs27,srs28,srs29,srs30
54,2,7,7,7,19,1,4,4,6,2,6,3,6,4,6,7,5,4,7,6,6,6,5,6,6,4,7,4,6,6,5,7,6,5,6,6,5,6,6,6,7,4,6,3,4,5,5,4,4,5,5,4
55,2,3,3,3,19,1,7,4,6,3,7,4,2,6,6,3,3,4,4,4,7,6,5,6,6,4,7,4,6,6,7,6,6,5,7,5,4,6,5,6,7,4,6,7,7,7,6,3,4,7,4,6
56,2,5,5,3,18,2,7,5,5,2,5,5,2,4,7,7,3,7,4,5,5,6,6,7,6,4,7,3,5,5,7,7,6,4,6,4,7,6,6,7,7,4,7,7,6,7,7,4,4,6,4,6
57,1,5,5,5,18,2,7,7,7,7,7,7,6,7,7,7,6,3,7,2,2,2,2,7,7,3,7,1,3,7,7,7,7,6,7,7,7,3,7,2,7,2,7,7,7,7,7,3,7,7,7,7
58,1,8,5,9,19,2,7,6,4,4,6,7,6,6,7,7,1,6,5,6,7,7,3,5,5,7,4,6,3,4,5,5,4,5,6,5,5,6,7,6,7,6,6,7,5,4,6,6,4,7,6,6
59,1,7,4,5,19,1,4,7,5,5,6,6,4,7,5,6,3,7,3,3,7,4,5,6,5,5,7,5,6,6,7,7,6,6,6,3,5,5,3,6,7,5,7,7,5,7,7,3,4,5,3,4
60,2,8,6,8,20,2,5,1,4,3,5,6,5,4,7,7,3,6,7,7,4,7,7,5,7,6,6,5,7,7,7,4,4,4,6,5,6,7,4,7,3,7,7,3,6,5,7,7,7,5,7,6
61,1,6,6,6,18,2,1,5,4,7,5,5,7,4,7,7,3,1,6,5,6,5,5,5,4,5,6,4,5,6,7,4,5,4,7,4,5,3,4,5,5,4,7,2,5,7,7,3,3,4,5,4
62,2,7,7,9,19,2,6,5,6,3,4,7,4,5,7,5,5,6,3,4,4,5,4,5,5,4,6,2,5,6,5,6,3,4,4,3,6,3,5,6,4,2,4,5,6,5,4,2,4,7,6,5
63,2,8,9,9,19,2,2,2,4,1,4,5,6,3,6,5,1,5,6,6,4,6,4,7,5,3,6,2,3,6,3,7,4,2,4,4,7,5,7,6,2,3,7,3,5,6,5,4,2,3,5,4
